now,messages,aircraft
1616180096,9512,"{'hex': 'a1c9cd', 'alt_baro': 36000, 'lat': 27.389328, 'lon': -82.467732, 'nic': 8, 'rc': 186, 'seen_pos': 0.7000000000000001, 'version': 0, 'nac_p': 8, 'sil': 2, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 11, 'seen': 0.0, 'rssi': -11.7}"
1616180096,9512,"{'hex': 'ae1d61', 'alt_baro': 21000, 'mlat': [], 'tisb': [], 'messages': 9, 'seen': 4.6, 'rssi': -13.2}"
1616180096,9512,"{'hex': 'acbe2d', 'alt_baro': 4400, 'alt_geom': 4550, 'gs': 57.1, 'track': 266.0, 'geom_rate': 64, 'lat': 25.998913, 'lon': -81.52859, 'nic': 9, 'rc': 75, 'seen_pos': 8.7, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 17, 'seen': 8.2, 'rssi': -12.8}"
1616180096,9512,"{'hex': 'a1bed3', 'alt_baro': 5400, 'alt_geom': 5525, 'gs': 148.3, 'track': 109.3, 'baro_rate': -64, 'nav_qnh': 1016.8, 'nav_altitude_mcp': 3488, 'lat': 26.786204, 'lon': -81.934503, 'nic': 8, 'rc': 186, 'seen_pos': 6.3, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 48, 'seen': 4.7, 'rssi': -12.7}"
1616180096,9512,"{'hex': 'a51f0f', 'flight': 'SWA826  ', 'alt_baro': 13000, 'alt_geom': 13550, 'gs': 360.3, 'track': 120.3, 'baro_rate': -1856, 'squawk': '3671', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1015.2, 'nav_altitude_mcp': 8000, 'nav_heading': 130.1, 'lat': 26.270599, 'lon': -81.278255, 'nic': 7, 'rc': 371, 'seen_pos': 0.6000000000000001, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 68, 'seen': 0.1, 'rssi': -8.2}"
1616180096,9512,"{'hex': 'ac6b86', 'flight': 'N9LT    ', 'alt_baro': 4425, 'alt_geom': 4525, 'gs': 210.3, 'track': 120.6, 'baro_rate': -384, 'squawk': '3122', 'emergency': 'none', 'category': 'A1', 'lat': 26.810852, 'lon': -82.008638, 'nic': 8, 'rc': 186, 'seen_pos': 6.2, 'version': 0, 'nac_p': 8, 'nac_v': 2, 'sil': 2, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 40, 'seen': 5.0, 'rssi': -12.7}"
1616180096,9512,"{'hex': 'a9af63', 'alt_baro': 27325, 'alt_geom': 28525, 'gs': 467.9, 'track': 13.5, 'geom_rate': 2112, 'squawk': '7003', 'emergency': 'none', 'nav_qnh': 1012.8, 'nav_altitude_mcp': 40992, 'nav_heading': 14.1, 'lat': 25.481345, 'lon': -81.33386, 'nic': 8, 'rc': 186, 'seen_pos': 4.9, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 55, 'seen': 0.30000000000000004, 'rssi': -13.8}"
1616180096,9512,"{'hex': 'a614fb', 'flight': 'N491N   ', 'alt_baro': 1950, 'alt_geom': 2075, 'gs': 177.5, 'track': 224.3, 'baro_rate': -448, 'squawk': '3651', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1016.8, 'nav_altitude_mcp': 2016, 'nav_modes': ['autopilot', 'tcas'], 'lat': 26.2733, 'lon': -81.645105, 'nic': 8, 'rc': 186, 'seen_pos': 0.4, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 59, 'seen': 0.2, 'rssi': -12.3}"
1616180096,9512,"{'hex': 'aa030b', 'flight': 'SWA530  ', 'alt_baro': 36025, 'alt_geom': 37325, 'gs': 381.3, 'track': 282.0, 'baro_rate': 0, 'squawk': '1170', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36000, 'nav_heading': 305.2, 'lat': 27.338333, 'lon': -82.19069, 'nic': 7, 'rc': 371, 'seen_pos': 0.1, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 263, 'seen': 0.1, 'rssi': -8.3}"
1616180096,9512,"{'hex': 'ac5bc2', 'alt_baro': 22000, 'alt_geom': 22925, 'gs': 392.1, 'track': 331.0, 'baro_rate': 0, 'version': 0, 'nac_p': 8, 'nac_v': 3, 'sil': 2, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 5, 'seen': 35.8, 'rssi': -13.5}"
1616180096,9512,"{'hex': 'a5dd1c', 'flight': 'SWA1101 ', 'alt_baro': 27550, 'alt_geom': 28575, 'gs': 469.2, 'track': 125.3, 'baro_rate': -2176, 'squawk': '1777', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 8000, 'nav_heading': 135.0, 'lat': 26.765625, 'lon': -82.000295, 'nic': 7, 'rc': 371, 'seen_pos': 1.3, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 320, 'seen': 0.1, 'rssi': -4.3}"
1616180096,9512,"{'hex': 'a513ac', 'flight': 'UAL1416 ', 'alt_baro': 20500, 'alt_geom': 21250, 'gs': 387.5, 'track': 343.2, 'baro_rate': 1792, 'squawk': '5735', 'category': 'A3', 'nav_qnh': 1012.8, 'nav_altitude_mcp': 30016, 'lat': 27.243668, 'lon': -81.816896, 'nic': 8, 'rc': 186, 'seen_pos': 16.0, 'version': 0, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 78, 'seen': 12.0, 'rssi': -12.9}"
1616180096,9512,"{'hex': 'a22b5e', 'flight': 'N239QS  ', 'alt_baro': 1275, 'alt_geom': 1300, 'gs': 144.3, 'track': 223.3, 'geom_rate': -704, 'category': 'A2', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 1600, 'nav_heading': 234.1, 'lat': 26.200624, 'lon': -81.723703, 'nic': 8, 'rc': 186, 'seen_pos': 0.30000000000000004, 'version': 0, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 1, 'sil': 3, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 42, 'seen': 0.0, 'rssi': -10.4}"
1616180096,9512,"{'hex': 'a81525', 'flight': 'STV62   ', 'alt_baro': 38000, 'alt_geom': 39400, 'gs': 398.2, 'track': 289.2, 'geom_rate': 0, 'squawk': '5601', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1012.8, 'nav_altitude_mcp': 38016, 'lat': 27.066559, 'lon': -82.300035, 'nic': 8, 'rc': 186, 'seen_pos': 0.1, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 360, 'seen': 0.1, 'rssi': -5.8}"
1616180096,9512,"{'hex': 'ac1f98', 'alt_baro': 11950, 'alt_geom': 12450, 'gs': 385.5, 'track': 81.2, 'baro_rate': -2432, 'squawk': '2755', 'emergency': 'none', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 10016, 'lat': 26.811622, 'lon': -81.110582, 'nic': 8, 'rc': 186, 'seen_pos': 31.1, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 56, 'seen': 4.8, 'rssi': -13.3}"
